Model,Mean Micro-F1,Std Micro-F1,Mean Macro-F1,Mean Hamming Loss,Mean Exact Match Accuracy,Rank
XGBoost,0.9380453721314265,0.015889006981674253,0.9301599415486986,0.03228956228956229,0.8929292929292929,1
Random Forest,0.9300080450522928,0.021579703719543743,0.9169567373817195,0.035993265993265994,0.8781818181818182,2
Logistic Regression,0.9071514440074369,0.02997978130253047,0.8729229007917748,0.047912457912457906,0.8452525252525251,3
KNN,0.8276840595886383,0.02760235848227553,0.8041830231414261,0.08853535353535355,0.7454545454545455,4
